NumWorkers,NumTasks,Trial,TimeSec,TasksCompleted
2,1000,1,25.419814000008046,1000
2,10000,1,254.44222029999946,10000
2,100000,1,2577.803369100002,100000
4,1000,1,13.534332000010181,1000
4,10000,1,128.1740887000051,10000
4,100000,1,1289.5363238999998,100000
8,1000,1,6.957354300000588,1000
8,10000,1,65.09787720000895,10000
8,100000,1,652.8629362000065,100000
