NumWorkers,NumTasks,Trial,TimeSec,TasksCompleted
1,100,1,5.913383100007195,100
1,500,1,25.477700000003097,500
1,1000,1,51.48896189998777,1000
1,10000,1,518.4830134000076,10000
2,100,1,3.4937277999997605,100
2,500,1,13.964512099992135,500
2,1000,1,26.980073999991873,1000
2,10000,1,254.43092080000497,10000
4,100,1,2.000173399996129,100
4,500,1,7.388025600012043,500
4,1000,1,13.619894899995415,1000
4,10000,1,129.67354960000375,10000
8,100,1,1.424971700005699,100
8,500,1,3.9007392000057735,500
8,1000,1,6.944069899996975,1000
8,10000,1,64.60286239998823,10000
